add.s:01000110000[f3][f2][f1]000000:f,f,f:0
abs.s:0100011000000000[f2][f1]000101:f,f:0
bc1f:01000101000[u1]00[b2]:u,b:3,16
bc1fl:01000101000[u1]10[b2]:u,b:3,16
bc1t:01000101000[u1]01[b2]:u,b:3,16
bc1tl:01000101000[u1]11[b2]:u,b:3,16
c.f.s:01000110000[f2][f1][u1]00110000:u,f,f:3
c.un.s:01000110000[f2][f1][u1]00110001:u,f,f:3
c.eq.s:01000110000[f2][f1][u1]00110010:u,f,f:3
c.ueq.s:01000110000[f2][f1][u1]00110011:u,f,f:3
c.olt.s:01000110000[f2][f1][u1]00110100:u,f,f:3
c.ult.s:01000110000[f2][f1][u1]00110101:u,f,f:3
c.ole.s:01000110000[f2][f1][u1]00110110:u,f,f:3
c.ule.s:01000110000[f2][f1][u1]00110111:u,f,f:3
c.sf.s:01000110000[f2][f1][u1]00111000:u,f,f:3
c.ngle.s:01000110000[f2][f1][u1]00111001:u,f,f:3
c.seq.s:01000110000[f2][f1][u1]00111010:u,f,f:3
c.ngl.s:01000110000[f2][f1][u1]00111011:u,f,f:3
c.lt.s:01000110000[f2][f1][u1]00111100:u,f,f:3
c.nge.s:01000110000[f2][f1][u1]00111101:u,f,f:3
c.le.s:01000110000[f2][f1][u1]00111110:u,f,f:3
c.ngt.s:01000110000[f2][f1][u1]00111111:u,f,f:3
ceil.w.s:0100011000000000[f2][f1]001110:f,f:0
cfc1:01000100010[r1][f2]00000000000:r,f:0
ctc1:01000100110[r1][f2]00000000000:r,f:0
cvt.s.w:0100011010000000[f2][f1]100000:f,f:0
cvt.w.s:0100011000000000[f2][f1]100100:f,f:0
div.s:01000110000[f3][f2][f1]000011:f,f,f:0
floor.w.s:0100011000000000[f2][f1]001111:f,f:0
lwc1:110001[r2][f1][i1]:f,i(r):16
mfc1:01000100000[r1][f2]00000000000:r,f:0
mtc1:01000100100[r1][f2]00000000000:r,f:0
mov.s:0100011000000000[f2][f1]000110:f,f:0
movf.s:01000110000[u1]00[f2][f1]010001:f,f,u:3
movn.s:01000110000[r3][f2][f1]010011:f,f,r:0
movt.s:01000110000[u1]01[f2][f1]010001:f,f,u:3
movz.s:01000110000[r3][f2][f1]010010:f,f,r:0
mul.s:01000110000[f3][f2][f1]000010:f,f,f:0
neg.s:0100011000000000[f2][f1]000111:f,f:0
round.w.s:0100011000000000[f2][f1]001100:f,f:0
sqrt.s:0100011000000000[f2][f1]000100:f,f:0
sub.s:01000110000[f3][f2][f1]000001:f,f,f:0
swc1:111001[r2][f1][i1]:f,i(r):16
trunc.w.s:0100011000000000[f2][f1]001101:f,f:0

l.s:110001[r2][f1][i1]:f,i(r):16
s.s:111001[r2][f1][i1]:f,i(r):16
